pl_name,hostname,pl_rade,ra
HD 24040 c,HD 24040,9.35,57.5962104
HD 25463 b,HD 25463,2.54535814,60.7483361
HD 25463 c,HD 25463,1.36354953,60.7483361
HD 25912 c,HD 25912,12.2,60.9074988
HD 2638 b,HD 2638,14.3,7.4990038
HD 28471 b,HD 28471,1.75,66.2875166
HD 28471 d,HD 28471,2.06,66.2875166
HD 32518 b,HD 32518,13.2,77.4037569
HD 34445 g,HD 34445,13.6,79.4207483
HD 3651 b,HD 3651,10.1,9.8387218
HD 3765 b,HD 3765,8.56,10.2072994
HD 39194 c,HD 39194,2.39,86.129071
HD 4308 b,HD 4308,4.12,11.1652594
HD 43197 c,HD 43197,12.6,93.3993231
HD 44219 b,HD 44219,14.1,95.0599971
HD 45350 b,HD 45350,13.5,97.1902262
HD 47366 b,HD 47366,13.4,99.4200181
HD 48948 c,HD 48948,2.6,102.489811
HD 4917 b,HD 4917,13.5,12.7762624
HD 49674 b,HD 49674,6.2,102.8773483
HD 50499 b,HD 50499,13.5,103.008075
HD 5278 b,HD 5278,2.45,12.5467785
HD 5278 c,HD 5278,4.49,12.5467785
HD 55696 b,HD 55696,12.9,108.0622029
HD 5608 b,HD 5608,13.7,14.5594349
HD 56957 b,HD 56957,12.8,109.3253986
HD 66428 c,HD 66428,13.5,120.8691654
HD 69830 d,HD 69830,4.45,124.6010091
HD 70642 b,HD 70642,13.0,125.3661079
HD 74698 c,HD 74698,14.0,130.0744755
HD 75289 b,HD 75289,14.2,131.9181715
HD 75302 b,HD 75302,12.8,132.3015641
HD 75784 b,HD 75784,13.8,133.0992289
HD 79498 b,HD 79498,13.6,138.7885794
HD 82943 b,HD 82943,13.5,143.7114034
HD 83443 c,HD 83443,13.6,144.2994103
HD 86081 b,HD 86081,13.6,149.0243714
HD 87883 b,HD 87883,12.7,152.1794175
HD 89307 b,HD 89307,13.4,154.5874958
HD 94834 b,HD 94834,13.7,164.3126363
HD 94890 b,HD 94890,13.3,164.1797804
HD 99492 b,HD 99492,5.44,171.689687
HIP 109384 b,HIP 109384,13.5,332.408972
HIP 29442 c,TOI-469,1.551,93.0578446
HIP 29442 d,TOI-469,1.538,93.0578446
HIP 38594 c,HIP 38594,7.94,118.5439118
HIP 63242 b,HIP 63242,12.5,194.3824825
HIP 65407 b,HIP 65407,14.3,201.087663
HIP 74890 b,HIP 74890,13.3,229.5714974
HIP 79098 AB b,HIP 79098 AB,12.1,242.1821202
HN Peg b,HN Peg,11.7768,326.1315705
HR 2562 b,HR 2562,12.44199,102.5042716
HR 5183 b,HR 5183,13.1,206.7357992
HR 810 b,HR 810,12.7,40.6417178
K2-111 c,K2-111,3.33,59.8903081
K2-127 b,K2-127,8.37,207.0782895
K2-13 b,K2-13,1.89,170.1554763
K2-148 b,K2-148,1.33,14.5176494
K2-158 c,K2-158,1.28,179.9397081
K2-16 b,K2-16,2.02,175.0972238
K2-170 b,K2-170,1.41817537,335.4506923
K2-174 b,K2-174,2.6,60.7929729
K2-18 b,K2-18,2.37,172.560141
K2-187 c,K2-187,1.4,132.5235618
K2-199 c,K2-199,2.85,208.9014508
K2-205 b,K2-205,1.99552771,15.2175909
K2-209 b,K2-209,0.86850263,14.6903464
K2-211 b,K2-211,1.33162691,21.1061587
K2-217 b,K2-217,3.57854073,11.2983678
K2-219 c,K2-219,1.43839723,12.8452963
K2-224 c,K2-224,2.41,189.7041426
K2-24 b,K2-24,5.4,242.5734559
K2-240 b,K2-240,2.0,227.849371
K2-244 b,K2-244,1.75,183.4686492
K2-247 c,K2-247,2.19,188.8935189
K2-254 b,K2-254,1.63,185.5507926
K2-261 b,K2-261,9.26982704,163.0323119
K2-264 b,K2-264,2.231,131.3583524
K2-265 b,K2-265,1.70824866,342.0316493
K2-266 b,K2-266,3.3,157.9356855
K2-268 c,K2-268,2.69,133.7094899
K2-268 f,K2-268,2.23,133.7094899
K2-269 b,K2-269,1.57,130.1551381
K2-279 b,K2-279,1.21,204.7792935
K2-281 b,K2-281,8.18,16.2274724
K2-282 b,K2-282,2.5,13.4321524
K2-283 b,K2-283,3.52,13.1943679
K2-284 b,K2-284,2.78,79.1407971
K2-285 e,K2-285,1.95,349.3843458
K2-287 b,K2-287,9.494023,233.0743401
K2-290 c,K2-290,11.276254,234.8578846
K2-291 b,K2-291,1.589,76.44594
K2-320 b,K2-320,2.62,163.2519122
K2-333 b,K2-333,6.18,136.7892752
K2-351 b,K2-351,2.54,206.6522408
K2-352 b,K2-352,1.37,140.4451478
K2-356 b,K2-356,2.29,128.3219134
K2-360 c,EPIC 201595106,4.02,183.7203635
K2-370 b,K2-370,3.207,67.8205302
K2-381 b,K2-381,1.075,288.0267612
K2-384 d,K2-384,1.392,20.4998403
K2-389 c,K2-389,2.04,355.6304152
K2-393 b,K2-393,2.352,348.5159113
K2-402 b,K2-402,2.678,161.451913
K2-415 b,K2-415,1.015,137.2015437
K2-47 b,K2-47,1.89,168.5825696
K2-5 c,K2-5,2.26,169.3034598
K2-57 b,K2-57,2.30905002,342.6918241
K2-61 b,K2-61,1.92,339.6748444
K2-65 b,K2-65,1.58,333.2125206
K2-8 b,K2-8,3.58,169.7935178
K2-90 b,K2-90,2.6,59.1527391
KELT-10 b,KELT-10,15.681391,284.5483823
KELT-11 b,KELT-11,15.13212395,161.7069053
KELT-23 A b,KELT-23 A,14.829507,232.1466406
KELT-6 b,KELT-6,14.5717,195.9818362
KELT-8 b,KELT-8,18.15858,283.3054489
KIC 7917485 b,KIC 7917485,12.4,299.4346094
KMT-2016-BLG-1107L b,KMT-2016-BLG-1107L,13.1,266.41775
KMT-2018-BLG-0087L b,KMT-2018-BLG-0087L,10.1,264.327
KMT-2018-BLG-0748L b,KMT-2018-BLG-0748L,9.01,267.8745
KMT-2018-BLG-1743L b,KMT-2018-BLG-1743L,10.5,274.283375
KMT-2018-BLG-1990L b,KMT-2018-BLG-1990L,12.9,268.435375
KMT-2019-BLG-0414L b,KMT-2019-BLG-0414L,12.9,268.8529167
KMT-2019-BLG-0578L b,KMT-2019-BLG-0578L,13.7,269.4846667
KMT-2019-BLG-1806L b,KMT-2019-BLG-1806L,2.0,270.5375417
KMT-2019-BLG-2974L b,KMT-2019-BLG-2974L,11.4,267.8520833
KMT-2021-BLG-0240L b,KMT-2021-BLG-0240L,9.6,267.5772917
KMT-2021-BLG-0736L b,KMT-2021-BLG-0736L,4.86,268.3225833
KMT-2021-BLG-1077L c,KMT-2021-BLG-1077L,10.6,266.489125
KMT-2021-BLG-2294L b,KMT-2021-BLG-2294L,5.02,270.0624167
KMT-2023-BLG-2209L b,KMT-2023-BLG-2209L,13.9,268.9942083
KMT-2024-BLG-2242L b,KMT-2024-BLG-2242L,3.82,268.415
KOBE-1 b,KOBE-1,2.91,19.1660378
KOI-12 b,KOI-12,13.78707,297.4537402
KOI-142 b,KOI-142,3.438,291.1481028
KOI-3503 c,KOI-3503,1.21,293.1507654
KOI-351 d,KOI-351,2.87,284.4334642
KOI-94 d,KOI-94,11.27,297.3330716
KPS-1 b,KPS-1,11.54527,165.167198
Kepler-100 c,Kepler-100,2.2,291.3861294
Kepler-100 e,Kepler-100,5.27,291.3861294
Kepler-1006 b,Kepler-1006,1.54,295.7542063
Kepler-1008 b,Kepler-1008,1.28,296.5476395
Kepler-1023 b,Kepler-1023,2.63,289.0297232
Kepler-1032 b,Kepler-1032,1.87,289.9308779
Kepler-1035 b,Kepler-1035,1.17,289.042243
Kepler-1036 b,Kepler-1036,3.01,295.1817093
Kepler-1038 b,Kepler-1038,3.53,298.9721472
Kepler-1050 c,Kepler-1050,1.48,282.9249847
Kepler-1053 b,Kepler-1053,0.98,291.4186349
Kepler-1062 b,Kepler-1062,1.76,283.8994187
Kepler-107 b,Kepler-107,1.536,297.028162
Kepler-107 d,Kepler-107,0.86,297.028162
Kepler-1070 b,Kepler-1070,1.73,293.1953923
Kepler-1073 d,Kepler-1073,1.48770949,294.1527259
Kepler-1077 b,Kepler-1077,2.77,291.0336333
Kepler-108 c,Kepler-108,8.18,294.5589885
Kepler-1097 b,Kepler-1097,3.26,281.5941261
Kepler-11 e,Kepler-11,4.19,297.1150949
Kepler-11 g,Kepler-11,3.33,297.1150949
Kepler-1105 b,Kepler-1105,2.01,281.1117588
Kepler-111 b,Kepler-111,1.58,291.653163
Kepler-1124 b,Kepler-1124,1.28,286.5942529
Kepler-1125 b,Kepler-1125,1.84,295.4812018
Kepler-1137 b,Kepler-1137,2.2,287.1302407
Kepler-1139 b,Kepler-1139,1.19,287.9455985
Kepler-114 b,Kepler-114,1.26,294.121482
Kepler-115 c,Kepler-115,2.6,297.7119299
Kepler-1150 b,Kepler-1150,1.02,296.7244553
Kepler-1152 b,Kepler-1152,0.87,290.4341483
Kepler-1159 b,Kepler-1159,2.37,294.266325
Kepler-116 c,Kepler-116,2.3,294.7420605
Kepler-118 b,Kepler-118,1.96,299.2131881
Kepler-119 c,Kepler-119,0.92,295.9463854
Kepler-1192 b,Kepler-1192,2.36,282.1405603
Kepler-1197 b,Kepler-1197,1.25,291.6693437
Kepler-120 c,Kepler-120,1.53,287.8915707
Kepler-1203 b,Kepler-1203,1.06,292.7734523
Kepler-1214 b,Kepler-1214,2.36,285.1427113
Kepler-1222 b,Kepler-1222,0.79,294.889616
Kepler-1224 b,Kepler-1224,1.33,286.6257591
Kepler-1225 b,Kepler-1225,1.82,290.6332748
Kepler-1228 b,Kepler-1228,1.54,296.552761
Kepler-1237 b,Kepler-1237,2.86,295.6292745
Kepler-1247 b,Kepler-1247,2.33,294.5335974
Kepler-1249 b,Kepler-1249,2.38,296.8948517
Kepler-125 c,Kepler-125,0.74,298.2581101
Kepler-1253 b,Kepler-1253,1.33,283.8852196
Kepler-1259 b,Kepler-1259,1.43,297.8414628
Kepler-1266 b,Kepler-1266,2.58,285.8693277
Kepler-1268 b,Kepler-1268,2.03,287.838419
Kepler-1269 b,Kepler-1269,1.63,287.8055442
Kepler-1271 b,Kepler-1271,1.48,286.3442954
Kepler-1273 b,Kepler-1273,2.49,285.8032016
Kepler-1277 b,Kepler-1277,1.6,295.1025166
Kepler-1280 b,Kepler-1280,1.87,293.5738933
Kepler-1289 b,Kepler-1289,1.52,296.388767
Kepler-1291 b,Kepler-1291,1.66,289.3770051
Kepler-130 b,Kepler-130,1.02,288.4505905
Kepler-1315 c,Kepler-1315,1.84398883,295.8215678
Kepler-132 e,Kepler-132,1.18,283.23581
Kepler-1320 b,Kepler-1320,1.7,288.4335977
Kepler-1321 b,Kepler-1321,4.92,294.528597
Kepler-1328 b,Kepler-1328,0.98,284.6753857
Kepler-1333 b,Kepler-1333,2.81,293.5275797
Kepler-1336 c,Kepler-1336,1.71,296.2776587
Kepler-134 b,Kepler-134,2.0,284.7391156
Kepler-1342 b,Kepler-1342,1.66,297.0200549
Kepler-1345 b,Kepler-1345,2.36,292.4779428
Kepler-1351 b,Kepler-1351,0.65,293.6084289
Kepler-1355 b,Kepler-1355,1.46,283.7414249
Kepler-1360 b,Kepler-1360,3.4,300.3440482
Kepler-1366 b,Kepler-1366,1.43,285.0648845
Kepler-1367 b,Kepler-1367,0.92,288.4166786
Kepler-1370 b,Kepler-1370,1.84,284.5656897
Kepler-1372 b,Kepler-1372,1.27,288.8865895
Kepler-1377 b,Kepler-1377,1.25,289.1954229
Kepler-1399 b,Kepler-1399,1.25,293.3116962
Kepler-1402 b,Kepler-1402,0.76,291.8478341
Kepler-1412 b,Kepler-1412,0.83,292.1801539
Kepler-1414 b,Kepler-1414,1.23,284.9285796
Kepler-1432 b,Kepler-1432,2.22,295.5241011
Kepler-1435 b,Kepler-1435,0.86,291.1732806
Kepler-144 b,Kepler-144,1.33,281.9156128
Kepler-1440 b,Kepler-1440,1.26,285.3469737
Kepler-1447 b,Kepler-1447,2.9,289.6434285
